Czas [g:m:s.ss];Cisnienie1 [Pa];Wysokosc1 [m];Akcel1 X [g];Akcel1 Y [g];Akcel1 Z [g];Akcel2 X [g];Akcel2 Y [g];Akcel2 Z [g];Zyro1 X [°/s];Zyro1 Y [°/s];Zyro1 Z [°/s];Zyro2 X [°/s];Zyro2 Y [°/s];Zyro2 Z [°/s];Magn1 X [gaus];Magn1 Y [gaus];Magn1 Z [gaus];Magn2 X [gaus];Magn2 Y [gaus];Magn2 Z [gaus];Magn3 X [gaus];Magn3 Y [gaus];Magn3 Z [gaus];SzerokoscGeo [°];DlugoscGeo [°];WysokoscMSL [m];PredkWzglZiemi; [mKurs [°];Liczba Sat/Fix [-/-];
23:13:52.60;100683.9;56.40;-0.006;0.356;0.930;-0.006;0.373;0.935;-2.441;-2.136;-0.610;-6.409;4.272;4.578;0;0;0;52;14;-216;0;0;0;52.236537;20.934972;121.2;0.05;0.18;6/1;
23:13:52.41;100689.8;55.88;-0.004;0.356;0.931;-0.007;0.374;0.936;-2.747;-2.136;-0.610;-6.714;4.883;4.883;0;0;0;49;16;-214;0;0;0;52.236537;20.934970;121.3;0.05;0.18;6/1;
23:13:52.21;100689.8;55.88;-0.004;0.355;0.931;-0.006;0.374;0.935;-2.441;-1.526;-0.610;-7.019;3.967;4.578;0;0;0;49;14;-215;0;0;0;52.236537;20.934970;121.3;0.04;0.18;6/1;
23:13:52.01;100682.2;56.56;-0.005;0.357;0.931;-0.007;0.374;0.936;-2.441;-1.831;-0.305;-6.714;4.272;4.272;0;0;0;46;18;-214;0;0;0;52.236537;20.934968;121.3;0.04;0.18;6/1;
23:13:53.82;100683.6;56.43;-0.005;0.355;0.930;-0.006;0.374;0.935;-2.747;-1.221;-0.610;-6.409;3.967;4.272;0;0;0;49;13;-215;0;0;0;52.236537;20.934967;121.3;0.04;0.18;6/1;
23:13:53.63;100685.6;56.26;-0.005;0.356;0.931;-0.006;0.374;0.935;-2.441;-1.526;-0.916;-7.019;3.662;4.578;0;0;0;47;18;-213;0;0;0;52.236537;20.934965;121.3;0.04;0.18;6/1;
23:13:53.43;100684.8;56.32;-0.005;0.356;0.929;-0.006;0.374;0.936;-2.441;-1.831;-0.916;-6.714;3.662;4.578;0;0;0;48;12;-217;0;0;0;52.236537;20.934963;121.3;0.05;0.18;6/1;
23:13:53.23;100682.0;56.57;-0.005;0.356;0.931;-0.006;0.374;0.935;-2.441;-1.526;-0.916;-6.714;4.272;4.578;0;0;0;48;14;-217;0;0;0;52.236535;20.934960;121.3;0.06;0.18;6/1;
23:13:53.03;100684.1;56.38;-0.005;0.356;0.930;-0.007;0.374;0.936;-1.831;-1.526;-0.610;-6.714;3.662;4.883;0;0;0;50;18;-215;0;0;0;52.236535;20.934957;121.3;0.07;0.18;6/1;
23:13:54.84;100687.1;56.12;-0.006;0.357;0.931;-0.006;0.374;0.935;-2.441;-1.831;-0.610;-6.409;3.662;4.578;0;0;0;52;16;-217;0;0;0;52.236533;20.934953;121.3;0.09;0.18;6/1;
23:13:54.65;100687.1;56.12;-0.004;0.356;0.930;-0.006;0.374;0.936;-2.441;-1.526;-0.916;-6.714;4.272;4.272;0;0;0;53;18;-215;0;0;0;52.236532;20.934950;121.3;0.10;0.18;6/1;
